stname,cluster_id,utc_time,utc_timestamp,utc_time_s,utc_timestamp_s,time_diff
HSH ,1,2008-08-04T21:39:05.900000Z,1217885945.9,2008-08-04T21:39:13.200000Z,1217885953.2,7.299999952316284
HSH ,1,2008-08-04T21:49:01.200000Z,1217886541.2,2008-08-04T21:49:15.600000Z,1217886555.6,14.399999856948853
HSH ,1,2008-08-04T22:45:38.200000Z,1217889938.2,2008-08-04T22:45:53.100000Z,1217889953.1,14.899999856948853
HSH ,1,2008-08-04T22:53:13.500000Z,1217890393.5,2008-08-04T22:53:24.400000Z,1217890404.4,10.900000095367432
HSH ,1,2008-08-05T00:07:55.300000Z,1217894875.3,2008-08-05T00:08:07.100000Z,1217894887.1,11.799999952316284
HSH ,1,2008-08-05T00:27:31.500000Z,1217896051.5,2008-08-05T00:27:44.300000Z,1217896064.3,12.799999952316284
HSH ,1,2008-08-05T00:35:03.900000Z,1217896503.9,2008-08-05T00:35:16.800000Z,1217896516.8,12.899999856948853
HSH ,1,2008-08-05T00:53:20.000000Z,1217897600.0,2008-08-05T00:53:33.700000Z,1217897613.7,13.700000047683716
HSH ,1,2008-08-05T01:31:33.100000Z,1217899893.1,2008-08-05T01:31:45.800000Z,1217899905.8,12.700000047683716
HSH ,1,2008-08-05T02:21:36.500000Z,1217902896.5,2008-08-05T02:21:49.200000Z,1217902909.2,12.700000047683716
HSH ,1,2008-08-05T02:38:10.600000Z,1217903890.6,2008-08-05T02:38:23.700000Z,1217903903.7,13.100000143051147
HSH ,1,2008-08-05T03:07:23.400000Z,1217905643.4,2008-08-05T03:07:36.500000Z,1217905656.5,13.099999904632568
HSH ,1,2008-08-05T03:11:42.200000Z,1217905902.2,2008-08-05T03:11:54.300000Z,1217905914.3,12.099999904632568
HSH ,1,2008-08-05T03:57:38.700000Z,1217908658.7,2008-08-05T03:57:49.700000Z,1217908669.7,11.0
HSH ,1,2008-08-05T04:44:07.500000Z,1217911447.5,2008-08-05T04:44:20.800000Z,1217911460.8,13.299999952316284
HSH ,1,2008-08-05T05:37:12.900000Z,1217914632.9,2008-08-05T05:37:20.300000Z,1217914640.3,7.3999998569488525
HSH ,1,2008-08-05T05:47:58.900000Z,1217915278.9,2008-08-05T05:48:08.700000Z,1217915288.7,9.799999952316284
HSH ,1,2008-08-05T06:42:48.200000Z,1217918568.2,2008-08-05T06:43:00.000000Z,1217918580.0,11.799999952316284
HSH ,1,2008-08-05T06:58:37.000000Z,1217919517.0,2008-08-05T06:58:50.400000Z,1217919530.4,13.400000095367432
HSH ,1,2008-08-05T07:30:38.800000Z,1217921438.8,2008-08-05T07:30:49.600000Z,1217921449.6,10.799999952316284
HSH ,1,2008-08-05T09:31:09.800000Z,1217928669.8,2008-08-05T09:31:17.300000Z,1217928677.3,7.5
HSH ,1,2008-08-05T10:33:29.600000Z,1217932409.6,2008-08-05T10:33:41.900000Z,1217932421.9,12.300000190734863
HSH ,1,2008-08-05T11:12:19.200000Z,1217934739.2,2008-08-05T11:12:32.200000Z,1217934752.2,13.0
HSH ,1,2008-08-05T11:35:15.800000Z,1217936115.8,2008-08-05T11:35:28.800000Z,1217936128.8,13.0
HSH ,1,2008-08-05T12:24:19.000000Z,1217939059.0,2008-08-05T12:24:30.400000Z,1217939070.4,11.400000095367432
HSH ,1,2008-08-05T13:23:27.600000Z,1217942607.6,2008-08-05T13:23:34.600000Z,1217942614.6,7.0
HSH ,1,2008-08-05T13:27:12.800000Z,1217942832.8,2008-08-05T13:27:25.300000Z,1217942845.3,12.5
HSH ,1,2008-08-05T13:35:40.600000Z,1217943340.6,2008-08-05T13:35:56.200000Z,1217943356.2,15.600000143051147
HSH ,1,2008-08-05T14:28:15.700000Z,1217946495.7,2008-08-05T14:28:29.000000Z,1217946509.0,13.299999952316284
HSH ,1,2008-08-05T14:37:28.200000Z,1217947048.2,2008-08-05T14:37:41.100000Z,1217947061.1,12.899999856948853
HSH ,1,2008-08-05T14:48:24.400000Z,1217947704.4,2008-08-05T14:48:41.400000Z,1217947721.4,17.0
HSH ,1,2008-08-05T15:12:54.200000Z,1217949174.2,2008-08-05T15:13:01.300000Z,1217949181.3,7.099999904632568
HSH ,1,2008-08-05T15:56:52.000000Z,1217951812.0,2008-08-05T15:57:02.000000Z,1217951822.0,10.0
HSH ,1,2008-08-05T16:13:10.300000Z,1217952790.3,2008-08-05T16:13:23.700000Z,1217952803.7,13.400000095367432
HSH ,1,2008-08-05T16:31:59.300000Z,1217953919.3,2008-08-05T16:32:12.100000Z,1217953932.1,12.799999952316284
HSH ,1,2008-08-05T16:41:13.900000Z,1217954473.9,2008-08-05T16:41:24.000000Z,1217954484.0,10.099999904632568
HSH ,1,2008-08-05T19:05:05.100000Z,1217963105.1,2008-08-05T19:05:16.100000Z,1217963116.1,11.0
HSH ,1,2008-08-05T20:29:23.800000Z,1217968163.8,2008-08-05T20:29:37.500000Z,1217968177.5,13.700000047683716
HSH ,1,2008-08-05T20:34:58.400000Z,1217968498.4,2008-08-05T20:35:11.600000Z,1217968511.6,13.199999809265137
HSH ,1,2008-08-05T20:52:48.400000Z,1217969568.4,2008-08-05T20:53:00.700000Z,1217969580.7,12.299999952316284
HSH ,1,2008-08-05T21:43:12.600000Z,1217972592.6,2008-08-05T21:43:22.900000Z,1217972602.9,10.300000190734863
HSH ,1,2008-08-05T22:20:24.500000Z,1217974824.5,2008-08-05T22:20:36.300000Z,1217974836.3,11.799999952316284
HSH ,1,2008-08-05T22:25:41.000000Z,1217975141.0,2008-08-05T22:25:59.000000Z,1217975159.0,18.0
HSH ,1,2008-08-05T22:49:35.900000Z,1217976575.9,2008-08-05T22:49:51.300000Z,1217976591.3,15.399999856948853
